"division_code","division","district_code","district","ctc","ctn","upazila_code","upazila","psc","psn","union_code","union_name","mouza_code","mouza","village_code","village","rmo_tus","rmo_phc","ea_code","psu_code"
"20","CHATTOGRAM","22","COX'S BAZAR","00","OTHERS AREA","24","COXS BAZAR SADAR","66","COXS BAZAR POURASABHA","003","WARD NO. 03","113","COXSBAZAR (PART)","207","PURBA NATUN BAHARCHHARA",2,"2","004",1911
"40","KHULNA","47","KHULNA","33","KHULNA CITY CORPORATION","51","KHULNA SADAR","00","OTHERS AREA","023","WARD NO. 23","298","HELATALA (PART)","028","BENIBABU ROAD",2,"9","002",1912
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","22","BHATARA","00","OTHERS AREA","017","WARD NO. 17 (PART)","372","JOARSAHARA (PART)","188","JAGANNATHPUR",2,"9","045",1913
"30","DHAKA","26","DHAKA","00","OTHERS AREA","72","SAVAR","00","OTHERS AREA","118","ASHULIA","077","BARA ASHULIA","008","ASHULIA",2,"6","016",1914
"20","CHATTOGRAM","22","COX'S BAZAR","00","OTHERS AREA","24","COXS BAZAR SADAR","00","OTHERS AREA","420","JHILANGJA","376","JHILANGJA (PART)","168","PURBA PASHCHIM LARPARA",2,"3","008",1915
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","37","KHILKHET","00","OTHERS AREA","017","WARD NO. 17 (PART)","373","JOAR SAHARA (PART)","288","KHILKHET UTTARPARA",2,"9","014",1916
"20","CHATTOGRAM","51","LAKSHMIPUR","00","OTHERS AREA","43","LAKSHMIPUR SADAR","25","LAKSHMIPUR POURASABHA","013","WARD NO.13","691","RAJIBPUR (PART)","180","RAJIBPUR",2,"2","002",1917
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","21","BHASANTEK","00","OTHERS AREA","015","WARD NO. 15 (PART)","446","LALASARAI","228","LALASARAI",2,"9","043",1918
"45","MYMENSINGH","39","JAMALPUR","00","OTHERS AREA","07","BAKSHIGANJ","11","BAKSHIGANJ POURASABHA","002","WARD NO. 02","484","MALIRCHAR (PART)","139","MANDALPARA",2,"2","002",1919
"55","RANGPUR","32","GAIBANDHA","00","OTHERS AREA","88","SAGHATA","00","OTHERS AREA","151","BONARPARA","090","BONARPARA","020","BONARPARA",2,"3","003",1920
"60","SYLHET","36","HABIGANJ","00","OTHERS AREA","71","MADHABPUR","00","OTHERS AREA","189","CHOUMUHANI","284","GAZIPUR","208","KAMALANAGAR",2,"6","001",1921
"30","DHAKA","54","MADARIPUR","00","OTHERS AREA","54","MADARIPUR SADAR","50","MADARIPUR POURASABHA","009","WARD NO. 09","421","KHAGDI","110","KHAGDI",2,"2","011",1922
"30","DHAKA","86","SHARIATPUR","00","OTHERS AREA","65","NARIA","50","NARIA POURASABHA","003","WARD NO. 03","543","NARIA (PART)","116","KHALIFAPARA",2,"2","001",1923
"20","CHATTOGRAM","03","BANDARBAN","00","OTHERS AREA","91","RUMA","00","OTHERS AREA","681","RUMA","586","PALI","252","UP ELAKA",2,"6","001",1924
"50","RAJSHAHI","70","CHAPAINABABGANJ","00","OTHERS AREA","66","CHAPAINAWABGANJ SADAR","33","CHAPAINAWABGANJ POURASABHA","012","WARD NO. 12","134","CHAR NAYANSHUKA (PART)","228","LAHAPARA",2,"2","001",1925
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","48","MIRPUR","00","OTHERS AREA","013","WARD NO. 13","709","SENPARA PARBATA (PART)","455","MADDHA MANIPUR",2,"9","027",1926
"30","DHAKA","59","MUNSHIGANJ","00","OTHERS AREA","24","GAZARIA","00","OTHERS AREA","160","BHABERCHAR","456","LAKKHIPUR","120","LAKKHIPUR",2,"6","011",1927
"45","MYMENSINGH","61","MYMENSINGH","40","MYMENSINGH CITY CORPORATION","52","MYMENSINGH SADAR","00","OTHERS AREA","002","WARD NO. 02","416","KASHAR (PART)","111","KASHAR",2,"9","009",1928
"30","DHAKA","26","DHAKA","25","DHAKA NORTH CITY CORPORATION","90","TEJGAON","00","OTHERS AREA","026","WARD NO. 26 ","408","KARWAN BAZAR","388","TEJKUNIPARA (BIRUTTAM ZIAUR RAHAMAN SARAK)",2,"9","039",1929
"30","DHAKA","26","DHAKA","20","DHAKA SOUTH CITY CORPORATION","57","MUGDA","00","OTHERS AREA","006","WARD NO. 06","597","PURBA BRAHMANCHIRAN","408","UTTAR MUGDAPARA",2,"9","004",1930
